Fisier,Caracteristica,Cod,Axa,NOMINAL,+TOL,-TOL,MEAS,DEV,OUTTOL
SER_235338AAA597640.PDF,PAGINA 6,FORMANDLOCATION,M,0.000,0.200,0.200,0.036,0.036,0.000
SER_235338AAA597640.PDF,PAGINA 6,FORMANDLOCATION,M,0.000,0.200,0.200,0.029,0.029,0.000
SER_235338AAA597640.PDF,PAGINA 6,FORMANDLOCATION,M,0.000,0.200,0.200,0.012,0.012,0.000
SER_235338AAA597640.PDF,PAGINA 6,FORMANDLOCATION,M,0.000,0.200,0.200,0.015,0.015,0.000
SER_235338AAA597640.PDF,PAGINA 6,DIST13,M,1.100,0.100,0.100,1.135,0.035,0.000
SER_235338AAA597640.PDF,PAGINA 6,DIST15,M,1.100,0.100,0.100,1.123,0.023,0.000
SER_235338AAA597640.PDF,PAGINA 7,LOC36,R,0.500,0.100,0.100,0.506,0.006,0.000
SER_235338AAA597640.PDF,PAGINA 7,LOC51,R,0.500,0.100,0.100,0.510,0.010,0.000
SER_235338AAA597640.PDF,PAGINA 7,FORMANDLOCATION,M,0.000,0.200,0.200,0.034,0.034,0.000
SER_235338AAA597640.PDF,PAGINA 7,FORMANDLOCATION,M,0.000,0.200,0.200,0.036,0.036,0.000
SER_235338AAA597640.PDF,PAGINA 7,FORMANDLOCATION,M,0.000,0.100,0.100,0.011,0.011,0.000
SER_235338AAA597640.PDF,PAGINA 7,FORMANDLOCATION,M,0.000,0.100,0.100,0.004,0.004,0.000
SER_235338AAA597640.PDF,PAGINA 7,LOC37,R,1.500,0.050,0.050,1.509,0.009,0.000
SER_235338AAA597640.PDF,PAGINA 7,LOC4S,R,1.500,0.050,0.050,1.500,0.000,0.000
SER_235338AAA597640.PDF,PAGINA 7,FORMANDLOCATION,M,0.000,0.100,0.100,0.025,0.025,0.000
SER_235338AAA597640.PDF,PAGINA 7,FORMANDLOCATION,M,0.000,0.100,0.100,0.012,0.012,0.000
SER_235338AAA597640.PDF,PAGINA 8,DIST1,M,17.600,0.100,0.100,17.612,0.012,0.000
SER_235338AAA597640.PDF,PAGINA 8,DIST2,M,17.600,0.100,0.100,17.606,0.006,0.000
SER_235338AAA597640.PDF,PAGINA 8,FORMANDLOCATION,M,0.000,0.100,0.100,0.013,0.013,0.000
SER_235338AAA597640.PDF,PAGINA 8,FORMANDLOCATION,M,0.000,0.100,0.100,0.014,0.014,0.000
SER_235338AAA597640.PDF,PAGINA 8,FORMANDLOCATION,M,0.000,0.100,0.100,0.022,0.022,0.000
SER_235338AAA597640.PDF,PAGINA 8,FORMANDLOCATION,M,0.000,0.100,0.100,0.019,0.019,0.000
SER_235338AAA597640.PDF,PAGINA 9,DIST3,M,11.050,0.050,0.050,11.022,-0.028,0.000
SER_235338AAA597640.PDF,PAGINA 9,DIST14,M,11.050,0.050,0.050,11.025,-0.025,0.000
SER_235338AAA597640.PDF,PAGINA 9,DIST4,M,8.000,0.100,0.100,8.040,0.040,0.000
SER_235338AAA597640.PDF,PAGINA 9,DIST16,M,8.000,0.100,0.100,8.000,0.000,0.000
SER_235338AAA597640.PDF,PAGINA 9,nimicA,M,0.000,0.200,0.000,0.078,0.078,0.000
SER_235338AAA597640.PDF,PAGINA 9,nimicA,M,0.000,0.200,0.000,0.007,0.007,0.000
SER_235338AAA597640.PDF,PAGINA 9,nimicA,M,0.000,0.200,0.000,0.004,0.004,0.000
SER_235338AAA597640.PDF,PAGINA 9,nimicA,M,0.000,0.200,0.000,0.006,0.006,0.000
SER_235338AAA597640.PDF,PAGINA 9,nimicA,M,0.000,0.200,0.000,0.023,0.023,0.000
SER_235338AAA597641.PDF,PAGINA 1,LOC43,R,3.000,0.300,0.300,2.985,-0.015,0.000
SER_235338AAA597641.PDF,PAGINA 1,LOC44,R,3.000,0.300,0.300,2.995,-0.005,0.000
SER_235338AAA597641.PDF,PAGINA 1,LOC16,R,2.000,0.300,0.300,1.886,-0.114,0.000
SER_235338AAA597641.PDF,PAGINA 1,LOC17,R,2.000,0.300,0.300,1.842,-0.158,0.000
SER_235338AAA597641.PDF,PAGINA 1,DIST6,M,17.000,0.001,0.001,17.000,0.000,0.000
SER_235338AAA597641.PDF,PAGINA 2,LOC4Z,R,91.500,0.300,0.300,91.471,-0.029,0.000
SER_235338AAA597641.PDF,PAGINA 2,LOC25,R,5.000,0.100,0.100,5.014,0.014,0.000
SER_235338AAA597641.PDF,PAGINA 2,LOC26,R,5.000,0.100,0.100,5.025,0.025,0.000
SER_235338AAA597641.PDF,PAGINA 2,DIST8,M,6.720,0.100,0.100,6.753,0.033,0.000
SER_235338AAA597641.PDF,PAGINA 2,DIST1O,M,6.720,0.100,0.100,6.754,0.034,0.000
SER_235338AAA597641.PDF,PAGINA 2,nimicA,M,0.000,0.050,0.000,0.004,0.004,0.000
SER_235338AAA597641.PDF,POSITION MM,FCFLOC2,A,0.000,0.050,0.000,0.000,90.007,0
SER_235338AAA597641.PDF,PAGINA 3,DISTS,M,9.050,0.050,0.050,9.035,-0.015,0.000
SER_235338AAA597641.PDF,PAGINA 3,DIST7,M,9.050,0.050,0.050,9.042,-0.008,0.000
